t_ms,xd_mm,yd_mm,x_mm,y_mm,th_mdeg,v_mmps,fic_mdeg

0,1000,0,700,-100,89541,5000,-1164
20,999,9,702,0,89295,5000,-625
40,999,19,703,99,89215,5000,-202

60,999,29,704,199,89268,5000,133
80,999,39,705,299,89426,5000,402

99,998,49,706,399,89671,5000,621
119,998,59,706,481,89987,4096,980
139,997,69,705,547,90364,3273,1459
159,996,79,705,599,90791,2590,2094

179,995,89,704,639,91262,2019,2958

199,995,99,703,670,91771,1541,4180
219,993,109,702,693,92311,1141,5992
239,992,119,701,709,92879,806,8873
259,991,129,700,719,93471,528,13939

279,990,139,700,725,94082,298,24395

299,988,149,700,728,94587,111,45000
320,987,159,700,725,95047,-101,-45000
340,985,169,701,720,95751,-296,-27797
360,983,179,701,713,96456,-341,-24615

380,982,188,702,705,97161,-372,-22751

400,980,198,703,698,97865,-392,-21682
420,978,208,705,690,98568,-402,-21147
440,975,218,706,682,99270,-404,-21005
460,973,227,707,674,99969,-400,-
21177
480,971,237,709,666,100666,-389,-21619

500,968,247,710,659,101360,-374,-22313
520,966,257,712,652,102051,-356,-23252
540,963,266,713,645,102739,-335,-24443

560,961,276,715,639,103423,-312,-25905
580,958,285,716,634,104104,-287,-27666

599,955,295,717,629,104781,-262,-29763
619,952,305,719,624,105455,-236,-32247
639,949,314,720,620,106125,-210,-35177

659,946,324,721,616,106792,-184,-38627
679,942,333,722,613,107455,-159,-42678

699,939,342,723,611,108062,-134,-45000
719,935,352,723,608,108637,-127,-45000

739,932,361,724,606,109207,-126,-45000
759,928,370,725,604,109756,-121,-45000
779,924,380,726,601,110291,-118,-45000

799,921,389,727,599,110805,-113,-45000
819,917,398,728,597,111298,-109,-45000

839,913,407,728,595,111766,-103,-45000
859,908,416,729,594,112206,-97,-45000
879,904,425,730,592,112612,-90,-45000

899,900,434,730,590,112978,-81,-45000
919,896,443,731,589,113293,-69,-45000

939,891,452,731,588,113545,-55,-45000
959,886,461,732,587,113716,-37,-45000
979,882,470,732,587,113782,-14,-45000

999,877,479,732,587,113851,15,45000
1019,872,488,731,588,114096,54,4
5000
1039,867,496,730,590,114532,96,45000
1059,862,505,729,593,115141,134,45000
1079,857,514,728,596,115896,167,45000

1099,852,522,726,599,116774,194,45000

1119,847,531,724,603,117760,218,45000
1139,841,539,722,607,118848,241,45000
1159,836,548,719,612,120049,266,45000
1179,830,556,716,617,121138,298,38939

1199,825,564,712,623,122132,332,33524

1219,819,572,708,629,123049,364,29143
1239,813,581,704,635,123905,392,25766
1259,808,589,699,642,124710,415,23233
1279,802,597,694,649,125474,433,21366

1299,796,605,689,656,126206,445,20006

1319,789,613,684,664,126910,452,19031
1339,783,620,678,671,127593,456,18344
1359,777,628,672,678,128259,457,17877
1379,771,636,667,685,128910,455,17574

1399,764,644,661,692,129550,452,17394

1419,758,651,655,699,130181,448,17307
1439,751,659,649,706,130804,443,17285
1459,745,666,643,712,131421,438,17311
1479,738,674,638,719,132033,433,17368

1499,731,681,632,725,132641,428,17444

1519,724,688,626,731,133246,424,17529
1539,717,696,620,737,133848,420,17616
1559,710,703,614,743,134447,416,17699
1579,703,710,608,749,135045,413,17774

1599,696,717,603,755,135641,410,17838

1619,689,724,597,760,136236,408,17890
1639,682,731,591,766,136830,406,17929
1659,674,737,585,771,137423,405,17954
1679,667,744,579,777,138015,404,17966

1699,659,751,573,782,138606,404,17965
1719,652,757,567,787,139196,403,17952
1739,644,764,560,793,139786,404,17929
1759,637,770,554,798,140376,404,17895
1779,629,777,548,803,140964,405,17854

1799,621,783,542,808,141553,406,17804
1819,613,789,535,813,142141,407,17749
1839,605,795,529,818,142728,408,17688
1859,597,801,522,823,143315,409,17622
1879,589,807,515,828,143902,411,17553

1899,581,813,509,832,144488,412,17482
1919,573,819,502,837,145074,414,17408
1939,565,824,495,842,145660,415,17333
1959,557,830,488,847,146245,417,17257
1979,548,836,481,851,146830,419,17181

1999,540,841,474,856,147415,421,17105
2019,531,846,467,860,147999,422,17029
2039,523,852,460,865,148583,424,16953
2059,514,857,452,869,149167,426,16879
2079,506,862,445,873,149750,428,16805

2099,497,867,437,877,150334,429,16733
2119,488,872,430,882,150916,431,16662
2139,480,877,422,886,151499,433,16593
2159,471,881,415,890,152081,435,16525
2179,462,886,407,894,152664,436,16459

2199,453,891,399,898,153245,438,16394
2219,444,895,391,902,153827,439,16331
2239,435,900,383,906,154408,441,16270
2259,426,904,375,909,154989,443,16211
2279,417,908,367,913,155570,444,16153

2299,408,912,359,917,156151,446,16097
2319,399,916,351,920,156731,447,16042
2339,390,920,342,924,157312,448,15989
2359,380,924,334,927,157892,450,15938
2379,371,928,326,930,158472,451,15888

2399,362,932,317,934,159051,452,15840
2419,353,935,309,937,159631,454,15793
2439,343,939,300,940,160210,455,15748
2459,334,942,291,943,160789,456,15704
2479,324,945,283,946,161368,457,15661

2499,315,948,274,949,161947,458,15620
2519,305,952,265,951,162525,459,15580
2539,296,955,256,954,163104,461,15541
2559,286,958,248,957,163682,462,15504
2579,277,960,239,959,164260,463,15467

2599,267,963,230,962,164838,464,15432
2619,257,966,221,964,165416,465,15398
2639,248,968,212,966,165994,466,15365
2659,238,971,203,968,166572,466,15333
2679,228,973,193,970,167149,467,15303

2699,219,975,184,972,167727,468,15273
2719,209,977,175,974,168304,469,15243
2739,199,979,166,976,168881,470,15215
2759,189,981,157,978,169458,471,15188
2779,179,983,147,979,170035,471,15162

2799,169,985,138,981,170612,472,15136
2819,160,987,129,982,171188,473,15111
2839,150,988,119,984,171765,474,15087
2859,140,990,110,985,172341,474,15064
2879,130,991,100,986,172918,475,15041

2899,120,992,91,987,173494,476,15020
2919,110,993,81,988,174070,476,14998
2939,100,994,72,989,174646,477,14978
2959,90,995,62,990,175222,477,14958
2979,80,996,53,991,175798,478,14938

2999,70,997,43,991,176374,479,14919
3019,60,998,34,992,176950,479,14901
3039,50,998,24,992,177525,480,14884
3059,40,999,14,993,178101,480,14866
3079,30,999,5,993,178677,481,14850

3099,20,999,-4,993,179252,481,14834
3119,10,999,-13,993,179827,482,14818
3139,0,999,-23,993,-179596,482,14803
3159,-9,999,-33,993,-179021,483,14788
3179,-19,999,-42,992,-178446,483,14774

3199,-29,999,-52,992,-177871,483,14760
3219,-39,999,-62,992,-177295,484,14746
3239,-49,998,-71,991,-176720,484,14733
3259,-59,998,-81,990,-176145,485,14721

3279,-69,997,-91,990,-175571,485,14708

3299,-79,996,-100,989,-174996,485,14696
3319,-89,996,-110,988,-174421,486,14685
3339,-99,995,-120,987,-173846,486,14674
3359,-108,994,-129,986,-173271,486,14663

3379,-118,992,-139,984,-172697,487,14652

3399,-128,991,-149,983,-172122,487,14642
3419,-138,990,-158,982,-171548,487,14632
3439,-148,988,-168,980,-170973,488,14622
3459,-158,987,-178,978,-170399,4
88,14613
3479,-168,985,-187,977,-169824,488,14603

3499,-178,983,-197,975,-169250,488,14594
3519,-188,982,-207,973,-168675,489,14586
3539,-197,980,-216,971,-168101,489,14577

3559,-207,978,-226,969,-167527,489,14569
3579,-217,976,-235,967,-166952,490,14561

3599,-227,973,-245,964,-166378,490,14553
3619,-236,971,-254,962,-165804,490,14546
3639,-246,969,-264,959,-165230,490,14539

3659,-256,966,-273,957,-164656,490,14532
3679,-265,963,-283,954,-164082,491,14525

3699,-275,961,-292,951,-163508,491,14518
3719,-285,958,-301,948,-162934,491,14511

3739,-294,955,-311,945,-162360,491,14505
3759,-304,952,-320,942,-161786,491,14499
3779,-313,949,-330,939,-161212,492,14493

3799,-323,946,-339,936,-160638,492,14487
3819,-332,943,-348,933,-160064,492,14482

3839,-342,939,-357,929,-159490,492,14476
3859,-351,936,-367,926,-158916,492,14471
3879,-360,932,-376,922,-158342,493,14466

3899,-370,928,-385,918,-157769,493,14461
3919,-379,925,-394,914,-157195,493,14456

3939,-388,921,-403,911,-156621,493,14451
3959,-397,917,-412,907,-156047,493,14446
3979,-407,913,-421,902,-155474,493,14442

3999,-416,909,-430,898,-154900,493,14437

4019,-425,905,-439,894,-154326,494,14433
4039,-434,900,-448,890,-153753,494,14429
4059,-443,896,-457,885,-153179,494,14425
4079,-452,891,-465,881,-152605,494,14421

4099,-461,887,-474,876,-152032,494,14417

4119,-469,882,-483,871,-151458,494,14413
4139,-478,877,-491,866,-150885,494,14410
4159,-487,873,-500,861,-150311,494,14406
4179,-496,868,-509,856,-149738,494,14403

4199,-504,863,-517,851,-149164,495,14400
4219,-513,858,-525,846,-148591,495,14397
4239,-522,852,-534,841,-148017,495,14393
4259,-530,847,-542,836,-147444,495,14390
4279,-538,842,-551,830,-146870,495,14388

4299,-547,836,-559,825,-146297,495,14385
4319,-555,831,-567,819,-145723,495,14382
4339,-563,825,-575,814,-145150,495,14379
4359,-572,820,-583,808,-144577,495,14376
4379,-580,814,-591,802,-144003,495,14374

4399,-588,808,-599,796,-143430,496,14371
4419,-596,802,-607,790,-142856,496,14369
4439,-604,796,-615,784,-142283,496,14367
4459,-612,790,-623,778,-141710,496,14364
4479,-620,784,-630,772,-141136,496,14362

4499,-628,778,-638,765,-140563,496,14360
4519,-635,771,-646,759,-139990,496,14358
4539,-643,765,-653,752,-139416,496,14356
4559,-651,758,-661,746,-138843,496,14354
4579,-658,752,-668,739,-138270,496,14352

4599,-666,745,-675,733,-137697,496,14350
4619,-673,739,-683,726,-137123,496,14348
4639,-681,732,-690,719,-136550,496,14346
4659,-688,725,-697,712,-135977,496,14344
4679,-695,718,-704,705,-135404,496,14343

4699,-702,711,-711,698,-134830,496,14341
4719,-709,704,-718,691,-134257,497,14340
4739,-716,697,-725,684,-133684,497,14338
4759,-723,690,-732,676,-133111,497,14337
4779,-730,682,-739,669,-132538,497,14335

4799,-737,675,-745,662,-131964,497,14334
4819,-744,668,-752,654,-131391,497,14332
4839,-750,660,-758,647,-130818,497,14331
4859,-757,653,-765,639,-130245,497,14329
4879,-763,645,-771,632,-129672,497,14328

4899,-770,637,-777,624,-129098,497,14327
4919,-776,630,-784,616,-128525,497,14326
4939,-782,622,-790,608,-127952,497,14325
4959,-789,614,-796,600,-127379,497,14323
4979,-795,606,-802,592,-126806,497,14322

4999,-801,598,-808,584,-126233,497,14321
5019,-807,590,-813,576,-125660,497,14320
5039,-812,582,-819,568,-125086,497,14319
5059,-818,574,-825,560,-124513,497,14318
5079,-824,565,-830,552,-123940,497,14317

5099,-830,557,-836,543,-123367,497,14316
5119,-835,549,-841,535,-122794,497,14315
5139,-841,540,-846,526,-122221,497,14314
5159,-846,532,-852,518,-121648,497,14314
5179,-851,524,-857,509,-121075,497,14313

5199,-856,515,-862,501,-120501,497,14312
5219,-861,506,-867,492,-119928,497,14311
5239,-867,498,-872,484,-119355,497,14310
5259,-871,489,-876,475,-118782,497,14309
5279,-876,480,-881,466,-118209,498,14309

5299,-881,472,-886,457,-117636,498,14308
5319,-886,463,-890,448,-117063,498,14307
5339,-890,454,-895,439,-116490,498,14307
5359,-895,445,-899,431,-115917,498,14306

5379,-899,436,-903,422,-115344,498,14305

5399,-904,427,-908,412,-114771,498,14305
5419,-908,418,-912,403,-114198,498,14304
5439,-912,409,-916,394,-113625,498,14303
5459,-916,400,-920,385,-113052,498,14303

5479,-920,390,-923,376,-112478,498,14302

5499,-924,381,-927,367,-111905,498,14302
5519,-928,372,-931,357,-111332,498,14301
5539,-931,363,-934,348,-110759,498,14301
5559,-935,353,-938,339,-110186,498,14300

5579,-938,344,-941,329,-109613,498,14300

5599,-942,334,-944,320,-109040,498,14299
5619,-945,325,-947,310,-108467,498,14299
5639,-948,316,-950,301,-107894,498,14298

5659,-951,306,-953,291,-107321,498,14298
5679,-954,297,-956,282,-106748,498,14298

5699,-957,287,-959,272,-106175,498,14297
5719,-960,277,-962,263,-105602,498,14297
5739,-963,268,-964,253,-105029,498,14296

5759,-965,258,-967,243,-104456,498,14296
5779,-968,248,-969,234,-103883,498,14295

5799,-970,239,-972,224,-103310,498,14295
5819,-973,229,-974,214,-102737,498,14295
5839,-975,219,-976,205,-102164,498,14295

5859,-977,210,-978,195,-101591,498,14294
5879,-979,200,-980,185,-101018,498,14294

5899,-981,190,-982,175,-100445,498,14293
5919,-983,180,-983,165,-99872,498,14293

5939,-985,170,-985,156,-99299,498,14293
5959,-986,160,-986,146,-98726,498,14293
5979,-988,151,-988,136,-98153,498,14292

5999,-989,141,-989,126,-97580,498,14292
6019,-991,131,-990,116,-97007,498,14292

6039,-992,121,-991,106,-96434,498,14291
6059,-993,111,-992,96,-95861,498,14291
6079,-994,101,-993,86,-95288,498,14291

6099,-995,91,-994,76,-94715,498,14291

6119,-996,81,-995,66,-94142,498,14290
6139,-997,71,-996,56,-93569,498,14290
6159,-998,61,-996,46,-92996,498,14290
6179,-998,51,-997,37,-92423,498,14290

6199,-999,41,-997,27,-91850,498,14290

6219,-999,31,-997,17,-91277,498,14289
6239,-999,21,-997,7,-90704,498,14289
6259,-999,11,-997,-2,-90131,498,14289
6279,-999,1,-997,-12,-89558,498,14289

6299,-999,-8,-997,-22,-88985,498
,14289
6319,-999,-18,-997,-32,-88412,498,14289
6339,-999,-28,-996,-42,-87839,498,14288
6359,-999,-38,-996,-52,-87266,498,14288
6379,-998,-48,-995,-62,-86693,498,14288

6399,-998,-58,-995,-72,-86120,498,14288

6419,-997,-68,-994,-82,-85547,498,14288
6439,-996,-78,-993,-92,-84974,498,14288
6459,-996,-88,-992,-102,-84401,498,14287
6479,-995,-98,-991,-112,-83828,498,14287

6499,-994,-108,-990,-122,-83255,498,14287
6519,-992,-118,-988,-132,-82682,498,14287
6539,-991,-128,-987,-142,-82109,498,14287
6559,-990,-137,-986,-151,-81536,498,14287
6579,-989,-147,-984,-161,-80963,498,14286

6599,-987,-157,-982,-171,-80390,498,14286
6619,-985,-167,-981,-181,-79817,498,14286
6639,-984,-177,-979,-191,-79244,498,14286
6659,-982,-187,-977,-200,-78671,498,14286
6679,-980,-197,-975,-210,-78098,498,14286

6699,-978,-206,-973,-220,-77525,498,14286
6719,-976,-216,-970,-230,-76952,498,14286
6739,-974,-226,-968,-239,-76379,498,14286
6759,-971,-236,-966,-249,-75806,498,14286
6779,-969,-245,-963,-259,-75233,498,14286

6799,-966,-255,-960,-268,-74660,498,14285
6819,-964,-265,-958,-278,-74087,498,14285
6839,-961,-274,-955,-287,-73514,498,14285
6859,-958,-284,-952,-297,-72941,498,14285
6879,-955,-293,-949,-307,-72369,498,14285

6899,-952,-303,-946,-316,-71796,498,14285
6919,-949,-313,-942,-325,-71223,498,14285
6939,-946,-322,-939,-335,-70650,498,14285
6959,-943,-331,-936,-344,-70077,498,14285
6979,-939,-341,-932,-354,-69504,498,14285

6999,-936,-350,-929,-363,-68931,498,14285
7019,-932,-360,-925,-372,-68358,498,14285
7039,-929,-369,-921,-381,-67785,498,14285
7059,-925,-378,-917,-391,-67212,498,14284
7079,-921,-387,-913,-400,-66639,498,14284

7099,-917,-397,-909,-409,-66066,498,14284
7119,-913,-406,-905,-418,-65493,498,14284
7139,-909,-415,-901,-427,-64920,498,14284
7159,-905,-424,-897,-436,-64347,498,14284
7179,-901,-433,-892,-445,-63774,498,14284

7199,-896,-442,-888,-454,-63201,498,14284
7219,-892,-451,-883,-463,-62628,498,14284
7239,-887,-460,-879,-471,-62055,498,14284
7259,-883,-469,-874,-480,-61482,498,14284
7279,-878,-478,-869,-489,-60909,498,14284

7299,-873,-486,-864,-498,-60336,498,14284
7319,-868,-495,-859,-506,-59763,498,14284
7339,-863,-504,-854,-515,-59190,498,14284
7359,-858,-512,-849,-523,-58617,498,14284
7379,-853,-521,-843,-532,-58044,498,14283

7399,-848,-529,-838,-540,-57471,498,14284
7419,-842,-538,-833,-549,-56898,498,14283
7439,-837,-546,-827,-557,-56325,498,14283
7459,-831,-555,-821,-565,-55752,498,14283
7479,-826,-563,-816,-573,-55180,498,14283

7499,-820,-571,-810,-581,-54607,498,14283
7519,-814,-579,-804,-590,-54034,498,14283
7539,-808,-587,-798,-598,-53461,498,14283
7559,-803,-595,-792,-606,-52888,498,14283

7579,-797,-603,-786,-613,-52315,498,14283

